,Désignation ,standardisation des pannes ,"Description de la panne
وصف العطب","Analyse du Problème
(cause)
سبب العطب","Correction
Réparation
التصليح","État  Statut
الحالة / الوضع ","Causes Racines
السبب الجذري ",classification des causes racine,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
"
B4,Mini Chargeuse,P04 -Surchauffe moteur,Joint de culasse,surchauffe moteur,"Démontage de la culasse et vérification de l’état de surface.
Rectification de la culasse et remplacement du joint de culasse.",Terminé,LDR non compatible,Random failure,
CH13,Chargeuse,P11 - Panne mécanique,"Système
de freinage",plaquettes ou machoirs usé  ou bien fuite d'huile au niveau de systéme de freinage ,"Remplacement des plaquettes ou des mâchoires de frein.
remplacement des durites et Purge du système de freinage ,",Terminé,Duré de vie des pieces,Wear failure,
T8,Tractopelle,P11 - Panne mécanique,"Rotules direction +
roulement roue avant",Rotule direction et roulement en fin de vie ,changement du rotule de direction et roulement des roues avant,Terminé,Duré de vie des pieces,Wear failure,
G7,Niveleuse,"P05 - Usure lame, axe ou articulation",Cales lame,cales lames usés réduits  l'éfficacité de machine,changement des cales lames,Terminé,,Random failure,
G4,Niveleuse,P07 - Problème électrique général,Absence du courant,court circuit,Réparation du faisceau electrique et remplacement du fusible,Terminé,,Random failure,
C8,Cylindre,P04 -Surchauffe moteur,Fuite d'eau au niveau du radiateur,radiateur defectueux,Réparation radiateur (soudure  du radiateur en cuivre avec du plomb),Terminé,problème lié au LDR ou oubli de remplacement du LDR lors vidange radiateur,Maintenance-related failure,
P3,Pelle,P07 - Problème électrique général,Problème de démarrage,batterie fin de vie,Changement de batterie,Terminé,Duré de vie des pieces,Wear failure,
CH10,Chargeuse,P04 -Surchauffe moteur,Pastille de déssablage au niveau du bloc moteur (appartient au système de refroidissemnt),corrosion de pastille a cause de LDR  non conforme,changement de pastille et rincage de circuit de refroidissment ,Terminé,mauvaise qualité du LDR ou non compatible,Misuse failure,
C8,Cylindre,P04 -Surchauffe moteur,casse au niveau de cage radiateur (fuite LDR) + masse  électrique coupe courant,Surpression d’air (probleme de joint)  dans le circuit de refroidissement entraînant la rupture du boîtier (ou de la cage) du radiateur,démontage et changement du joint de culasse,Terminé,"niveau bas du LDR ou lors de la vidange radiateur  : Mauvais entretien  du système de refroidissement (purge non faite, bouchon de radiateur défectueux)",Maintenance-related failure,
B7,Mini Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,ventilateur de refroidissment radiateur tourne faible,augmenter la pression jusqu'à 40 bars  d'huile afin d'augmenter le nombre de tour du  ventilateur  500 tour/min,Terminé,Duré de vie du ventilateur donc il y a eu juste prolongation  de duree de vie  par augmenter la pression temporairement ,Wear failure,"changer le susteme de ventilation ,,,,,,, viscocoupleur"
CH6,Chargeuse,P11 - Panne mécanique,Défaut injecteurs,Injecteurs défaillants ou mal tarés ,changement des injecteurs,Terminé,Duré de vie des injecteurs,Wear failure,
G10,Gradere,P06 - Utilisation intensive sur terrain,couronne de lame,surcharge,changement de couronne de lame,Terminé,surcharge,Misuse failure,formation chauffeur
CH2,Chargeuse,"P04 - Surchauffe moteur
P11- Panne mecanique",Probléme de vitesse 1er et 3éme + fuite au niveau de pompe à eau ,"la tige de sélection de vitesses est mal fixée
pompe a eau fin de vie",correction de l'emplacement de tige de sélection des vitesse + changement de pompe à eau ,Terminé,Manufacturing defect Tige de commande du sélecteur de vitesses desserrée et duré de vie de pompe à eau,Wear failure,
C8,Cylindre,P07 - Problème électrique général,Problême de démarrage,rupture de courroie d'accessoires,changement de courroie,Terminé,Duré de vie de courroie,Wear failure,
G4,Gradere,P11 - Panne mécanique,Rotule de direction,fin de vie de Rotule de direction,changer la rotule de direction ,Terminé,Duré de vie de rotule,Wear failure,
C12,Cylindre,P07 - Problème électrique général,Probléme electrique,oxydation des fils electrique,réparation des fils électrique,Terminé,,Random failure,
G7,Gradere,P03 - Fuite huile moteur,Fuite d'huile moteur,Parahuile vilebrequin,changement de parahuile de vilebrequin,Terminé,Duré de vie de parahuile,Wear failure,
B5,Mini Chargeuse,P07 - Problème électrique général,Problème électrique ( Alternateur),Durée de vie d'alternateur,changement d'alternateur,Terminé,Duré de vie d'alternateur,Wear failure,entretien ?
G7,Gradere,P11 - Panne mécanique,Défaut injecteurs,Injecteurs défaillants ou mal tarés,Changement des injecteurs,Terminé,Duré de vie des injecteurs,Wear failure,
CH2,Chargeuse,P07 - Problème électrique général,Probléme de démarrage,2 batteries fin de vie,changement des deux batteries,Terminé,Duré de vie des batterie,Wear failure,
B3,Mini Chargeuse,"P11 - Panne mécanique
P06 - Utilisation intensive sur terrain",TOC (POUR LIAISON AMORTISSEUR-CHASSIS) + BATTERIE + LAME DU GODET,fin de vie pour toc et batterie + CHANGEMENT DE LAME,"changement de toc,  batterie et lames",Terminé,Duré de vie des pieces,Wear failure,
G6,Niveleuse,"P05 - Usure lame, axe ou articulation",démarrage dificile  et jeu cales et lames,injecteurs défaillants et duré de vie des cales et lames ,changement kit lames complet et injecteurs (6),Terminé,Duré de vie des pieces,Wear failure,
CH9,Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,pompe à eau défectueuse,Changement de pompe à eau,Terminé,Duré de vie de pompe à eau,Wear failure,
CH3,Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,pompe à eau défectueuse,Changement de necessaire et presse étoupe du pompe à eau ,Terminé,Duré de vie des pieces,Wear failure,
T22,Tractopelle,P07 - Problème électrique général,probléme de démarrage,pas de gasoil aux injecteurs,Changement de pompe electrique haute pression,Terminé,Duré de vie des piéces interne de pompe HP,Wear failure,
T18,Tractopelle,P03 - Fuite huile moteur,fuite d'huile pont,parahuile d'étencheité fin de vie,Changement de parahuile de pont,Terminé,Duré de vie de parahuile,Wear failure,
B10,Mini Chargeuse,P04 - Surchauffe moteur,Surchauffe du moteur ,ventilateur de refroidissment radiateur ne tourne pas,Changement moteur ventilateurs et garder les helices,Terminé,"Duré de vie de moteur 
 ventilateurs",Wear failure,c
