"ID Intervention
عرّف التدخُّل","Matériel
en panne 
المعدّات او الجهاز المعطَّل",Désignation ,Localisation de la panne ,Marque,Numéro de Série / العدد الرتبي, Immatricule /لوحة التسجيل ,Matériel sous garantie,standardisation des pannes ,"Description de la panne
وصف العطب","Date de Détection
تاريخ اكتشاف العطب","Analyse du Problème
(cause)
سبب العطب",Diagnostic Recommandé (théorique),"Date prévue d'intervention
التاريخ المُتوقَّع للتدخُّل","Date Effective d’Intervention
التاريخ الفعلي للتدخُّل
",Date fin  d’Intervention ,"Correction
Réparation
التصليح","Réparation en interne
المسؤول عن التدخّل

","Réparation en externe
الصيانة الخارجية","Pièces de rechange
 قطع الغيار المستخدمة",,,,," Date Fin d’Intervention
تاريخ انتهاء التدخُّل","État  Statut
الحالة / الوضع ","Causes possibles
الاحتمالات","Causes Racines
السبب الجذري ",classification des causes racine,obs,"Action Corrective Proposée
الإجراء التصحيحي المقترح 
","Vérification Post Intervention
التحقُّق بعد التدخُّل","Commentaires
 الملاحظات ","catégorie de panne en terme de disponibilité des pieces de rechanges
(non disponible,difficilement accessible, disponible) ","catégorie de panne en terme de cout
 ( pas cher, moyen, cher)","catégorie de panne en terme de complexité 
 ( facile, intermediaire, difficile)"
,B15,Mini chargeuse ,,KOMATSU,KMTS004ERUF06080,F06080,ss garantie,P09 -Fuite de gasoil ,"Fuite de gasoil 
( risque d’incendie, de pollution et de baisse d’autonomie",6/20/2025,".

Présence d’impuretés dans le réservoir favorisant l’usure du circuit d’alimentation."," 1. Essuyage / nettoyage moteur et réservoir, puis observation moteur tournant.
2. Tampon papier absorbant sur chaque raccord ; tâche humide = fuite.
3. Seringue + pression faible (pompe manuelle) pour repérer gouttes sous pression.
4. Traceur fluorescent (additif UV) si la fuite est minime ou diffuse.
5. Contrôle retour injecteurs : débit > tolérance = pointeau usé.",6/20/2025,,6/20/2025,remplacement des joints d'étencheité ,AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,,terminé,"Changement de type d’huile ayant pu dégrader certains joints ou durites compatibles uniquement avec l’ancien fluide.

Contamination du réservoir par des particules solides (poussière, boue, rouille).

Vieillissement ou fissuration d’une durite ou raccord gasoil.",Duré de vie des joints,Panne d'entretien -Panne d'usure,le gazoil asseche le plastique des joints à long terme,"changement du filtre carburant Inspection durites et raccords (usure/fissures ,et odeur gazoil intense au niveau de la diurite).
Contrôle visuel d’étanchéité
Tous les 250 h (avec la vidange moteur)
Remplacement préventif des joints de conduites carburant
Tous les 2 000",,,Disponible,pas cher,Facile
,C15,Cylindre ,,BOMAG,,9.6188E+11,,P10 -accident suite à un choc,Bras endommagé suite à un choc,6/23/2025,Déformation et/ou fissuration suite à un choc sur chantier.,,6/23/2025,,6/23/2025,"Soudure des zones fissurées.

Dressage du bras pour rétablir sa forme initiale.",,,,,,,,6/23/2025,Terminé,"Impact avec un obstacle ou chute de charge lourde.

Mauvaise manipulation ou erreur d’opérateur.",manque d'attention de l'opérateur,Mauvaise utilisation,,,,,Disponible,pas cher,Intermédiaire
,C13,Cylindre ,Sidi Thabet ,JCB VIBRROMAX,,1701002,,"P05 - Usure lame, axe ou articulation",Rupture de l’axe de rotation du cylindre,7/5/2025,"L’axe de rotation s’est rompu en deux, probablement dû à un couple de torsion excessif.

Cette rupture a été aggravée par une usure avancée ou une fissure mal réparée.","• Usiner ou commander un axe neuf en acier allié conforme au plan d’origine.
• Rectifier ou remplacer paliers et bagues si ovalisés.
• Remonter en respectant l’alignement (< 0,05 mm de faux‑rond) et le couple de serrage recommandé.
",8/2/2025,,8/2/2025,"Remplacement complet de l’axe de rotation.

Graissage systématique de l’axe et des points mobiles.

Remplacement de 2 électrovannes Fibreu.

Réparation du faisceau électrique.
",AMMAR TAYIB – Resp Maintenance Curative ,,,,,,,8/2/2025,Terminé,"Surcharge mécanique ou utilisation au-delà des limites.

Usure prolongée sans remplacement ni réparation adéquate.

Défaut de maintenance ou réparation antérieure insuffisante.",manque de graissage,Panne d'entretien,,"-Inspection régulière de l’état de l’axe et des composants associés.
-Lubrification périodique selon recommandations constructeur.
-Surveillance des efforts mécaniques pour éviter les surcharges.
-Contrôle et maintenance du système électrique (électrovannes et faisceau).
",,,Disponible,cher,Intermédiaire
,B7,Mini chargeuse ,BORJ  ETTOUMI,CATERPILLAR,PWK04104,216B3,,P04 - Surchauffe moteur,Surchauffe du moteur ,7/28/2025,"Radiateur encrassé ou bouché réduisant l’échange thermique.

Pompe à eau défectueuse empêchant la circulation correcte du liquide de refroidissement.","1-Vérifier visuellement le niveau de liquide de refroidissement
2-Contrôler l’état du radiateur et des durites
3-Faire tourner le moteur et observer si le ventilateur fonctionne
4-Contrôler l’ouverture du thermostat à chaud
5-Tester la pompe à eau (écoulement visible dans vase d’expansion)",7/28/2025,,7/28/2025,"Nettoyage radiateur.

Nettoyage approfondi (circuit de lubrification du moteur ""ailettes et passages"" ).
",,,,,,,,,Terminé,"La mauvaise qualité du liquide de refroidissement (LDR) utilisé dans le moteur provoque la corrosion du bloc moteur, ce qui entraîne ensuite la contamination de l’ensemble du circuit de refroidissement","Manque d’entretien régulier du système de refroidissement et utlisiation de produit non conforme,",Panne d'entretien,,"-Lavage et inspection du radiateur toutes les 100–150 heures pour environnements poussiéreux.
-Vérification régulière du fonctionnement de la pompe à eau.
-Contrôle du niveau et qualité du liquide de refroidissement.
-Sensibilisation des opérateurs à l’importance du refroidissement moteur.",,,Disponible,pas cher,facile
,C4,"Cylindre pneumatique ""monobulle""",BIZERTE,HAMM,3412,H1600729,,P04 - Surchauffe moteur,Surchauffe du moteur ,7/28/2025,radiateur colmaté,"Remplacement du joint de culasse
Réalésage ou remplacement du cylindre/piston concerné
Nettoyage du circuit d’huile et de refroidissement
Réglage ou remplacement des injecteurs ou soupapes
Révision complète du moteur si dégâts important",7/28/2025,,7/28/2025,"Nettoyage radiateur.

À vérifier : Nettoyage approfondi (circuit de lubrification du moteur ""ailettes et passages"" ). ",,,,,,,,7/28/2025,Terminé,"Niveau d’huile trop bas.

Manque de lavage

Entretien insuffisant du système de lubrification.",LDR non conforme,Panne aléatoire,,#NOM?,,,Disponible,pas cher,Facile
,CH13,chargeuse ,BIZERTE MENZEL ABDERRAHMEN,LON KING,CDM856,31939ES,,P04 - Surchauffe moteur,Surchauffe du moteur ,7/28/2025,"Surchauffe causée par un échangeur thermique encrassé ou une fuite de liquide de refroidissement (LDR).

Ventilateur inefficace réduisant la dissipation de chaleur.","Nettoyage haute pression / soufflage inverse des faisceaux radiateurs.

Purge & remplissage du circuit LDR avec liquide aux spécifications OEM.

Remplacement : thermostat, pompe à eau, durites, joints qui fuient.

Réfection ventilateur : viscocoupleur, moteur hydraulique, roulements.

Réglage ou remplacement injecteurs si combustion trop chaude",7/28/2025,,7/28/2025,Entretien complet et lavage de l’échangeur thermique.,,,,,,,,,Terminé,"Accumulation de saletés, poussières ou débris dans l’échangeur.

Fuite de liquide de refroidissement entraînant une baisse de niveau et de pression.

Dysfonctionnement ou défaillance du ventilateur.",LDR non conforme,Panne aléatoire,,"-Inspection régulière de l’échangeur et du circuit de refroidissement.
-Contrôle périodique du niveau et de l’état du liquide de refroidissement.
-Vérification du bon fonctionnement du ventilateur.
-Nettoyage périodique tous les 250 à 500 heures pour éviter l’accumulation de poussières.",,,Disponible,pas cher,Intermédiaire
,P3,Pelle ,,HYUNDAI EXCAVATOR,ROBEX300LC-9S,HHKHZ810CC0000484,,P11 - Panne mécanique,Porte-vérin endommagé,7/28/2025,l'Usure ou dégradation du porte-vérin  entraine un Risque de jeu excessif ou fuite hydraulique.,,7/28/2025,,7/28/2025,"Remplacement d'axe, des joints d'étencheité et des bagues usés.

",,,,,,,,,Terminé,"Manque de graissage ou lubrification insuffisante.

Usure normale liée à l’utilisation intensive.

Chocs ou mauvaises manipulations.",manque de lubrification,Panne aléatoire,,#NOM?,,,Disponible,cher,Difficile
,T13,Tractopelle,,HIDROMEK,HMK102BTA35A23012,25452ES,,P07 - Problème électrique général,Problème de démarreur,7/28/2025,Démarreur défectueux empêchant le moteur de démarrer correctement.,,7/29/2025,,7/29/2025,"Remplacement complet du démarreur.
",,,,,,,,7/29/2025,Terminé,"Usure normale ou panne électrique interne.

Connexions électriques défectueuses ou corrosion.",duré de vie d'alternateur ,Panne d'usure,,"-Contrôle serrage des bornes et câbles et Nettoyage oxydation éventuelle.
-Test périodique du démarreur (Faire tourner le démarreur à vide + Mesurer intensité absorbée et tension)
-Protection contre l’humidité et la corrosion des composants électriques (Utiliser graisses ou sprays isolants sur bornes ou Protéger câblage avec gaines/étanchéité).",,,Disponible,moyen,Intermédiaire
,T11,Tractopelle,,HIDROMEK,HMK102BTC35A20656,23108ES  ,,P02 - défaillance hydraulique,Fuite d’huile et échappement,7/30/2025,"Fuite d’huile au niveau du convertisseur et du cardan.

Fuite d’huile sur la roue avant (parahuile).

Fuite d’huile dans la boîte de vitesses, causant surchauffe.

Échappement lié à des fissures ou dommages nécessitant soudure sur le réservoir d’huile.
",,8/1/2025,,8/1/2025,"Changement du distributeur hydraulique.

Remplacement ou réparation de la boîte de vitesses.

Soudure des fuites sur le réservoir d’huile et échappement.",,,,,,,,,Terminé,Durée de vie des parahuiles ( piéces d'usure),"

Défaillance du distributeur hydraulique.

Surchauffe due à un mauvais fonctionnement de la boîte de vitesses.",Panne aléatoire,,#NOM?,,,Disponible,moyen,Intermédiaire
,T10,Tractopelle,sidi thabet,HIDROMEK,HMK102BTJ35A20655,23110ES,,P02 - Défaillance hydraulique,"Panne commodo, pneus, distributeurs et démarrage+mano température + compteur ",7/30/2025,"Dysfonctionnement du comodo (commande électrique multifonction).

Problèmes liés aux pneus (usure ou pression insuffisante).

Défauts sur 2 distributeurs hydrauliques de boîte.

Problème de démarrage électrique.

Circuit gasoil encrassé nécessitant nettoyage et remplacement de composants d’étanchéité.","1. Vérifier la pression hydraulique pilote à la prise manomètre ; comparer au manuel du constructeur.
2. Contrôler l’état de l’huile : niveau, couleur, odeur de brûlé, présence de particules.
3. Inspecter filtres et crépine : colmatage & Delta-P élevé = alerte.
4. Tester chaque distributeur en by-passant le joystick (commande manuelle directe si possible).
5. Tester continuité électrique des électro-valves et résistance des bobines (Ω).
6. Observer les flexibles pilote : suintement ou bulle d’air → purge ou remplacement.",8/2/2025,,8/2/2025,"-Remplacement ou réparation des 2 distributeurs hydrauliques de boîte.
-Nettoyage complet du circuit gasoil.
-Remplacement du kit de joints (coupelle, cale).
-Contrôle et maintenance des pneus.
-Changement mano température + compteur de la T11",,,,,,,,,Terminé,#NOM?,,Panne aléatoire,,#NOM?,,,Disponible,pas cher,Intermédiaire
,T8,Tractopelle,,HIDROMEK,35115428,17583ES,,P07 - Problème électrique général,Coupure de courant due à des  fils électriques,7/30/2025,"Interruption de l’alimentation électrique causée par des fils déconnectés ou retirés.

",,7/30/2025,,7/30/2025,#NOM?,,,,,,,,7/30/2025,Terminé,#NOM?,manque d'inspection cablage faisceau electrique lors de l'entretien préventif,Panne aléatoire-Panne d'entretien,,#NOM?,,,Disponible,pas cher,Intermédiaire
,CH6,Chargueuse,gammarth,KOMATSU,KMTWA043CHA082632,32996ES,,"P04 - Surchauffe moteur
P09 -Fuite de gasoil ",Fuite d’eau pompe à eau / fuite gasoil injecteur,7/31/2025,#NOM?,,7/31/2025,,7/31/2025,"Remplacement ou réparation des joints et pièces défectueuses de la pompe à eau.
Réparation ou remplacement des joints et composants des injecteurs.
Vérification et réparation du système d’amortissement.
",,,,,,,,,Terminé,"-Usure ou dégradation des joints et composants de la pompe à eau.
-Défaut d’étanchéité sur les injecteurs (joints, raccords).
-Problèmes mécaniques ou hydrauliques liés à l’amortissement (amortisseurs usés ou endommagés).",durée de vie des pièces (pomope à eau et injecteurs),Panne d'usure,,#NOM?,,,Disponible,moyen,Intermédiaire
,B3,Mini-Chargeuse,AIN ZAGHOUAN,CATERPILLAR,CAT0216BEPWK02198,PWK02198,,P11 - Panne mécanique,Problème de goujon,7/31/2025,"Goujon endommagé ou cassé affectant la fixation des roues
",,8/2/2025,,8/2/2025,"Remplacement des goujons sur les 4 roues
",,,,,,,,,Terminé,#NOM?,Couple élevée,Panne aléatoire,,"-Vérification régulière de l’état des goujons.
-Contrôle du serrage et fixation correcte des roues.
-Éviter les surcharges et chocs violents.",,,Disponible,pas cher,Facile
,G4,Nivleuse ,PARC,CAT,CAT0012KCSZP00275,22303ES,,"P05 - Usure lame, axe ou articulation","Usure des cales, lames, pignons, amortissement et distributeurs",7/31/2025,"-Les cales, lames et pignons sont usés, ce qui réduit l’efficacité de la machine.
-Le système d’amortissement est défaillant, affectant la stabilité.
-Deux distributeurs hydrauliques doivent être remplacés",,8/7/2025,,8/7/2025,#NOM?,,,,,,,,,Terminé,#NOM?,"durée de vie des pièces (cales, lames, pignons, amortisseurs et distributeurs)",Panne d'usure,,"un stock de sécurité des piéces (,,,,,,,) pour éviter la rupture en cas de délai d’approvisionnement.
Contrôle régulier des pièces d’usure.
Entretien périodique du système d’amortissement.
Vérification des distributeurs et remplacement préventif.",,,Difficilement accessible,cher,difficile
,T16,Tractopelle,El Ghazala,HIDROMEK,HMK102BMK2B261331,35011ES,,P07 - Problème électrique général,Croie alternateur défectueuse,8/8/2025,"La courroie d’alternateur est usée ou cassée, empêchant la recharge de la batterie et le bon fonctionnement électrique.",,8/8/2025,,8/8/2025,changement de courroie,,,,,,,,,Terminé,#NOM?,duré de vie de courroie,Panne d'usure,,"-Contrôle régulier de l’état et de la tension de la courroie.
-Remplacement préventif avant rupture.",,,Disponible,pas cher,facile
,T8,Tractopelle,DHU Soukra,HIDROMEK,35115428,17583ES,,P07 - Problème électrique général,Problèmes de démarrage,8/8/2025,"Démarreur défectueux
",,8/8/2025,,8/8/2025,changement de démarreur,,,,,,,,,Terminé,"-Problèmes électriques (batterie, démarreur).
-Circuit carburant obstrué ou défectueux.
-Problèmes de commande ou de relais.",fin de vie de démarreur,Panne d'usure,,#NOM?,,,Disponible,moyen,Intermédiaire
,C1,Cylindre ,Sidi Thabet Mbarka,BITELLI ,,991346,,P07 - Problème électrique général,Problème électrique marche avant et arrière,8/8/2025,Dysfonctionnement du système électrique contrôlant les mouvements avant et arrière.,,8/8/2025,,8/8/2025,changement de selecteur de vitesse + changement d'alternateur,,,,,,,,,Terminé,#NOM?,Défaut de fabrication,Défaut de fabrication,,#NOM?,,,Disponible,pas cher,facile
,T10,Tractopelle,Sidi Thabet Ettbaieb,HIDROMEK,HMK102BTJ35A20655,23110ES,,P07 - Problème électrique général,mano temperature moteur+comodo +entretien,8/11/2025,oxydation des fils electrique,,8/11/2025,,8/11/2025,"entretien complet fait , réparation faisceau mano temperature et comodo",,,,,,,,,Terminé,,Infiltration d’humidité dans le faisceau électrique due à une protection insuffisante des connecteurs et à un mauvais routage des câbles exposés aux projections d’eau ou aux lavages.,Panne d'entretien,,Pose de gain(es) thermo-rétractable(s) chauffante(s) sur les câbles réparés et les jonctions pour assurer une étanchéité durable.,,,Disponible,pas cher,facile
,P2,Pelle ,,KOMATSU,,7125164,,P07 - Problème électrique général,courroie alternateur,8/12/2025,duré de vie de courroie,,8/12/2025,,8/12/2025,changement de courroie et alternateur,,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,,,,Disponible,pas cher,facile
,G9,Nivleuse,,SINOMACH,,38038ES,,P11 - Panne mécanique,flexible de frein,8/12/2025,fin de vie de flexible,,8/12/2025,,8/12/2025,changement de flexible de frein et purger tout le système,,,,,,,,,Terminé,,Duré de vie de flexible,Panne d'usure,,,,,Disponible,pas cher,Facile
,B13,Mini chargeuse ,,KOMATSU,,F06056,,P11 - Panne mécanique,deux pneus usés,8/12/2025,fin de vie des pneus ,,8/12/2025,,8/12/2025,changement des pneus neuf ,,,,,,,,,Terminé,,Duré de vie des pneus,Panne d'usure,,,,,Disponible,moyen,Intermédiaire
,CH4,Chargeuse ,Ezzahra,CAT,CAT00950CM5K01527,30687ES,,P02 - Défaillance hydraulique,Pression hydraulique insuffisante,8/12/2025,Pompe à huile obstruée par huile contaminée,,8/12/2025,,8/12/2025,démontage de carter et rincage de crépine de pompe a huile et changement des injecteurs,,,,,,,,,Terminé,,"Huile sale ou vieille, il n’ y pas eu changement d'huile à temps pendant la vidange",Panne d'usure,,"Utilisation huile adaptée et ne pas dépassé la période de vidange 
",,,Disponible,moyen,Intermédiaire
,G7,Nivleuse,,CAT,,24260ES,,"P05 - Usure lame, axe ou articulation",Système de lame (cales et tige )d’une niveleuse : jeu excessif et perte de précision de nivellement.,8/18/2025,Usure mécanique des cales et de l’axe due aux frottements répétés et manque de lubrification,,8/18/2025,,8/18/2025,démontage du système de lame et changement d'axe et cales ,,,,,,,,,Terminé,, insuffisance de graissage régulier et absence de contrôle périodique du jeu +Durée de vie atteinte des cales et axes ,Panne d'usure,,,,,Disponible,cher,difficile
,FR1,Fraiseuse,Morneg,WIRTGEN,,12200824,,P04 - Surchauffe moteur,Température élevée ,8/11/2025,Surchauffe moteur due à un radiateur colmaté par des feuilles d’arbre aspirées par le ventilateur dans la zone verte de Morneg.,,8/11/2025,,8/11/2025,Nettoyage complet du radiateur.,,,,,,,,8/12/2025,Terminé,,manque de lavage,Panne d'entretien,,#NOM?,,,Disponible,pas cher,Intermédiaire
,P9,Pelle,Bouargoub,DOSAN,,DHKCECAPLF0006248,,P07 - Problème électrique général,Alternateur + batterie,8/23/2025,"batterie + roulement alternateur defectueux (probleme ddu rotor ""induit"" qui est cher donc vaut mieux proceder au remplacement de tout l'alternateur) et regulateur fin de vie",faire diagnostique et changer les pieces d'usure si besoin  sinon changement d'alternateur et batterie,8/23/2025,,8/23/2025,changement alternateur et batterie,,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,mesurer tension alternateur avec multimètre,,,Disponible,moyen,Intermédiaire
,P3,Pelle,Ezzahra,HYUNDAI EXCAVATOR,,HHKHZ810CC0000484,,P07 - Problème électrique général,Démarreur,8/23/2025,"Aucune alimentation n’arrive au démarreur,  ou le démarreur est en fin de vie",,8/23/2025,,8/23/2025,Nettoyage les cosses des fils  avec un produit antioxydant WD40 et resserrage des connexions électriques.,,,,,,,,,Terminé,,Oxydation ou mauvais contact électrique au niveau des cosses,Panne aléatoire,,Intégrer un contrôle périodique des connexions électriques (tous les 250 h),,,Disponible,pas cher,facile
,CP2,Compresseur,Klibia,,,,,P04 -Surchauffe moteur,Système de refroidissement,8/23/2025,"manque de LDR
 et radiateur boucher
pompe à eau defectuex",verifier le fonctionnement de pompe à eau  et rincage de tout le circuit de refroidissement,8/23/2025,,8/23/2025,changement de radiateur  et rincage de tout le circuit de refroidissement,,,,,,,,,Terminé,,qualite du LDR ,Panne aléatoire,,"analyse du LDR  chez SOTULIB ou SpectroLab International SA ou MediClean | Fluides Auto
",,,Disponible,moyen,Intermédiaire
,T5,Tractopelle,Sidi Hcine,HIDROMEK,35113895,17077ES,,P07 - Problème électrique général,probleme Electrique pas de contact ou temoin allumé en continu,8/23/2025,oxydation des fils electrique,,8/23/2025,,8/23/2025,Réparation du faisceau electrique ,,,,,,,,,Terminé,,"Vieillissement naturel du câble
Exposition du faisceau électrique à l’humidité, à la poussière
rat 
Détérioration du faisceau électrique causée par des rongeurs (morsures entraînant court-circuit ou perte de continuité).",Panne d'usure,,"Nettoyage régulier, répulsifs, gaines blindées.",,,Disponible,pas cher,facile
,T7,Tractopelle,Tertiaire,HIDROMEK,35115331,17245ES,,"P02 - Défaillance hydraulique
P09 -Fuite de gasoil",Vérin +circuit carburant,8/23/2025,"Usure des éléments d’étanchéité du vérin ou manque d’huile dans le système.
Présence d’impuretés, de saletés ou obstruction du circuit de carburant.",,8/23/2025,,8/23/2025,"changement des éléments nécessaire de vérin (parahuile) ou purger le circuit d'huile.
vérification de tout le circuit de carburant (reservoir,tuyauterie, pompe à gazoil)  et changement du filtre de carburant.",,,,,,,,,Terminé,,"Manque d'entretien (lavage) (
 
Usure naturelle (étanchéité du vérin)

mauvaise qualité carburant : Contamination / manque de filtration (circuit carburant)

Défaut d’entretien préventif (remplacement fluide/filtre non respecté)",Panne d'usure,,"lavage quotidien (un torchom imbibé d'un produit antioxydant puis graissage avec un pinceau), changement de parahuile",,,Disponible,cher,difficile
,C4,Cylindre,DGPC BIZERTE Zouawine,HAMM,,H1600729,,P11 - Panne mécanique,Tendeur + courroie,8/25/2025,durée de vie de courroie + tendeur,,8/25/2025,,8/25/2025,changement de kit courroie  + tendeur,,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,,,,Disponible,pas cher,Intermédiaire
,B4,Mini chargeuse ,DHU entretien ben AROUS,BOBCAT,,A1Z777963,,P04 -Surchauffe moteur,Joint de culasse,8/25/2025,surchauffe moteur,,8/30/2025,,8/30/2025,"Démontage de la culasse et vérification de l’état de surface.
Rectification de la culasse et remplacement du joint de culasse.",,,,,,,,,Terminé,,LDR non compatible,Panne aléatoire,,,,,Disponible,cher,Difficile
,CH13,Chargeuse ,Menzel Abderrahmen,LON KING,LSH0856NPHAB08922,31939ES,,P11 - Panne mécanique,"Système
de freinage",8/25/2025,plaquettes ou machoirs usé  ou bien fuite d'huile au niveau de systéme de freinage ,,8/25/2025,,8/25/2025,"Remplacement des plaquettes ou des mâchoires de frein.
remplacement des durites et Purge du système de freinage ,",,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,,,,Disponible,pas cher,Intermédiaire
,T8,Tractopelle,DGPC Bizerte Zouawine,HIDROMEK,35B111682,15399ES,,P11 - Panne mécanique,"Rotules direction +
roulement roue avant",8/25/2025,Rotule direction et roulement en fin de vie ,,8/26/2025,,8/26/2025,changement du rotule de direction et roulement des roues avant,,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,,,,Disponible,pas cher,Intermédiaire
,G7,Niveleuse,Commune Sokra,CAT,CAT0012KESZP00369,24260ES,,"P05 - Usure lame, axe ou articulation",Cales lame,8/25/2025,cales lames usés réduits  l'éfficacité de machine,,8/25/2025,,8/25/2025,changement des cales lames,,,,,,,,,Terminé,,,Panne aléatoire,,,,,Disponible,moyen,Intermédiaire
,G4,Niveleuse,Jardin El menzeh,CAT,CAT0012KCSZP00275,22303ES,,P07 - Problème électrique général,Absence du courant,Absence du courant,court circuit,,8/25/2025,,8/25/2025,Réparation du faisceau electrique et remplacement du fusible,,,,,,,,,Terminé,,,Panne aléatoire,,,,,Disponible,pas cher,Facile
,C8,Cylindre,Jardin El menzeh,HAMM,,H1811852,,P04 -Surchauffe moteur,Fuite d'eau au niveau du radiateur,8/25/2025,radiateur defectueux,,8/25/2025,,8/25/2025,Réparation radiateur (soudure  du radiateur en cuivre avec du plomb),,,,,,,,,Terminé,,problème lié au LDR ou oubli de remplacement du LDR lors vidange radiateur,Panne d'entretien,on considere qu il a fait une vidange radiateur 1000h  demande s il n y a pas eu de vidange complet 1000h il faut completer vidange boite reducteur pont huile de transfert,,,,Disponible,pas cher,Intermédiaire
,P3,Pelle,Ezzahra,HYUNDAI EXCAVATOR,ROBEX300LC-9S,HHKHZ810CC0000484,,P07 - Problème électrique général,Problème de démarrage,8/30/2025,batterie fin de vie,,8/30/2025,,8/30/2025,Changement de batterie,,,,,,,,,Terminé,,Duré de vie des pieces,Panne d'usure,,,,,Disponible,pas cher,Facile
